城市,跨境数据传输总量_TB,数据中心数量,互联网国际出口带宽_Gbps,GDP_亿元,数字经济核心产业增加值_亿元,研发经费投入_亿元,发明专利授权量,5G基站数量,算力规模_PFLOPS
东莞,438.0096912991279,20,12735.834800558348,18256.51202819077,9412.820598186076,845.0052783119795,20621,10477,1090.8626448152868
中山,392.9204088099866,7,6736.047006834228,5384.61030172103,2398.347690646059,187.28784323160343,5024,25542,387.3788342130053
佛山,376.8265208614228,10,7470.303400265389,16421.99475795763,7139.778423913026,634.6684213485594,10264,19581,718.0301751601799
广州,1220.6010864980144,18,13265.133042159669,38835.5004644355,18698.059586000916,1806.2807464717064,12362,30476,537.7392505359262
惠州,306.3745704489499,6,6850.642284667631,7566.213404402431,2759.6464623443185,290.38418046394384,5897,33048,469.5797300899862
江门,276.0117351327397,9,3929.468152634169,5824.553238531797,2129.5608836223346,241.7127805422228,7842,19446,589.2489845687255
深圳,406.1228866129515,12,11766.455988742944,47018.60537076182,25594.130850570888,2285.842554708008,24015,20549,647.5435144678327
澳门,319.76505365257543,7,5355.894410448706,7396.870390459041,2871.891394521726,278.53767939004194,9807,10180,533.7840002557105
珠海,389.58047933858535,6,7812.196862956294,5691.601061927798,2768.868188453528,278.57861681944286,12641,12291,684.5847663517789
肇庆,466.9708152907904,5,6828.7465737720695,4013.2371205566874,1409.3143157480977,132.0961459070045,8854,10684,221.7092726082885
香港,692.8183448544792,6,9403.65223637227,43385.0864531182,23989.72390488058,2473.396012837082,17416,34457,1222.2359586830194
