,Factor1,Factor2,Factor3
跨境数据传输总量_TB,0.08076879032849776,0.6052468312442543,0.5925999670932071
数据中心数量,0.2626627778843722,0.7973276053788764,-0.06224981992030718
互联网国际出口带宽_Gbps,0.4927704535298123,0.8361831225379345,0.19450008501926092
GDP_亿元,0.7468051394914749,0.33493785389443703,0.5466164033586229
数字经济核心产业增加值_亿元,0.7935370810938253,0.28654673484027665,0.5211473840679673
研发经费投入_亿元,0.7864907791143622,0.25429767327273944,0.5656676027197705
发明专利授权量,0.9404039892317155,0.3578706708632985,-0.16279738129403573
5G基站数量,0.07159784633996771,-0.024635514225147107,0.8042068648358919
算力规模_PFLOPS,0.6198947079039396,0.17211771970917375,0.051007381620764174
智慧城市发展指数,0.2935488917018046,0.3113984311090761,0.2305962406853
